score,rank
696,1
695,57
694,72
693,80
692,101
691,122
690,141
689,167
688,185
687,206
686,231
685,255
684,281
683,323
682,358
681,400
680,458
679,514
678,580
677,638
676,703
675,770
674,846
673,919
672,1007
671,1099
670,1204
669,1309
668,1428
667,1568
666,1693
665,1822
664,1937
663,2087
662,2227
661,2370
660,2520
659,2677
658,2865
657,3030
656,3215
655,3407
654,3613
653,3828
652,4049
651,4258
650,4454
649,4681
648,4889
647,5136
646,5377
645,5630
644,5897
643,6153
642,6433
641,6689
640,6996
639,7271
638,7620
637,7924
636,8285
635,8624
634,8938
633,9294
632,9615
631,9991
630,10369
629,10777
628,11152
627,11585
626,11990
625,12415
624,12830
623,13267
622,13707
621,14196
620,14663
619,15165
618,15644
617,16164
616,16686
615,17224
614,17774
613,18329
612,18831
611,19424
610,20034
609,20629
608,21255
607,21846
606,22420
605,23070
604,23687
603,24355
602,24985
601,25674
600,26372
599,27083
598,27809
597,28551
596,29303
595,30136
594,30927
593,31721
592,32538
591,33300
590,34143
589,34997
588,35861
587,36741
586,37678
585,38628
584,39576
583,40518
582,41500
581,42514
580,43549
579,44580
578,45604
577,46632
576,47663
575,48717
574,49770
573,50873
572,52011
571,53099
570,54204
569,55331
568,56504
567,57739
566,58875
565,60042
564,61302
563,62553
562,63901
561,65215
560,66483
559,67750
558,69128
557,70517
556,71883
555,73216
554,74603
553,75980
552,77419
551,78840
550,80299
549,81769
548,83233
547,84732
546,86251
545,87727
544,89306
543,90880
542,92460
541,94134
540,95742
539,97337
538,99029
537,100667
536,102374
535,103966
534,105660
533,107390
532,109065
531,110795
530,112513
529,114254
528,115954
527,117737
526,119473
525,121214
524,123034
523,124829
522,126681
521,128443
520,130225
519,132074
518,133906
517,135757
516,137693
515,139540
514,141460
513,143391
512,145310
511,147214
510,149179
509,151118
508,153094
507,155025
506,156992
505,158949
504,160948
503,162895
502,164861
501,166834
500,168825
499,170809
498,172835
497,174910
496,176943
495,178975
494,181038
493,183120
492,185129
491,187195
490,189226
489,191247
488,193337
487,195396
486,197412
485,199468
484,201532
483,203553
482,205603
481,207725
480,209804
479,211752
478,213788
477,215840
476,217929
475,220059
474,222071
473,224030
472,226014
471,228041
470,230065
469,232006
468,234070
467,236151
466,238165
465,240107
464,242136
463,244022
462,246001
461,247947
460,249842
459,251772
458,253690
457,255597
456,257574
455,259480
454,261378
453,263196
452,265128
451,267029
450,268952
449,270839
448,272674
447,274467
446,276228
445,277986
444,279711
443,281502
442,283298
441,285142
440,286917
439,288632
438,290459
437,292186
436,293933
435,295707
434,297490
433,299220
432,300956
431,302669
430,304359
429,306119
428,307789
427,309482
426,311174
425,312828
424,314537
423,316185
422,317826
421,319536
420,321086
419,322638
418,324277
417,325862
416,327515
415,329071
414,330674
413,332177
412,333750
411,335394
410,337004
409,338536
408,340091
407,341669
406,343188
405,344732
404,346264
403,347770
402,349306
401,350815
400,352302
399,353876
398,355394
397,356944
396,358424
395,359950
394,361423
393,362903
392,364387
391,365875
390,367346
389,368835
388,370289
387,371706
386,373162
385,374634
384,376017
383,377446
382,378837
381,380280
380,381678
379,383142
378,384572
377,386072
376,387476
375,388891
374,390268
373,391701
372,393098
371,394479
370,395805
369,397183
368,398570
367,399972
366,401323
365,402677
364,404059
363,405375
362,406739
361,408104
360,409377
359,410732
358,412034
357,413349
356,414667
355,415963
354,417250
353,418516
352,419854
351,421176
350,422521
349,423790
348,425034
347,426298
346,427547
345,428790
344,430027
343,431305
342,432598
341,433824
340,434987
339,436245
338,437378
337,438598
336,439787
335,440981
334,442202
333,443446
332,444663
331,445791
330,446930
329,448045
328,449151
327,450312
326,451421
325,452560
324,453668
323,454781
322,455901
321,456978
320,458052
319,459160
318,460199
317,461277
316,462326
315,463339
314,464348
313,465379
312,466378
311,467391
310,468351
309,469373
308,470371
307,471325
306,472243
305,473196
304,474055
303,474961
302,475847
301,476757
300,477639
299,478475
298,479379
297,480182
296,481057
295,481937
294,482834
293,483626
292,484432
291,485256
290,486045
289,486811
288,487633
287,488372
286,489127
285,489880
284,490620
283,491310
282,492055
281,492781
280,493472
279,494165
278,494810
277,495483
276,496158
275,496813
274,497491
273,498126
272,498731
271,499324
270,499901
269,500437
268,500993
267,501600
266,502170
265,502692
264,503236
263,503740
262,504268
261,504775
260,505265
259,505745
258,506222
257,506675
256,507141
255,507628
254,508090
253,508555
252,508967
251,509377
250,509817
249,510173
248,510584
247,510951
246,511334
245,511685
244,512047
243,512386
242,512745
241,513088
240,513458
239,513784
238,514076
237,514435
236,514741
235,515046
234,515352
233,515650
232,515924
231,516184
230,516431
229,516667
228,516952
227,517194
226,517427
225,517668
224,517903
223,518145
222,518376
221,518578
220,518792
219,519010
218,519218
217,519421
216,519601
215,519794
214,519974
213,520144
212,520288
211,520452
210,520604
209,520753
208,520899
207,521045
206,521230
205,521351
204,521480
203,521609
202,521758
201,521874
200,521990
199,522094
198,522216
197,522325
196,522424
195,522527
194,522623
193,522726
192,522829
191,522911
190,522985
189,523060
188,523121
187,523187
186,523268
185,523332
184,523402
183,523457
182,523523
181,523564
180,523627
179,523674
178,523728
177,523783
176,523825
175,523875
174,523931
173,523983
172,524019
171,524066
170,524099
169,524141
168,524180
167,524211
166,524254
165,524292
164,524331
163,524366
162,524399
161,524433
160,524474
159,524509
158,524542
157,524575
156,524611
155,524652
154,524676
153,524705
152,524742
151,524774
150,524799
