PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米)
10.5,13.83,2.73,4.47,0.67,42.3
11.17,14.89,3.34,6.35,0.81,38.61
11.1,14.55,3.59,6.45,0.79,39.09
10.35,13.42,2.47,4.43,0.68,44.52
9.66,12.23,1.74,2.48,0.37,54.73
10.25,13.08,2.13,3.31,0.49,50.57
10.94,14.04,2.55,4.33,0.6,45.7
11.64,15.06,3.07,5.69,0.72,40.94
12.13,15.62,3.44,6.47,0.78,39.01
12.67,16.01,3.83,6.81,0.78,39.08
11.84,14.89,2.65,5.37,0.72,42.37
10.33,12.87,1.27,2.93,0.57,49.42
9.31,11.44,1.23,1.96,0.41,58.07
11.47,13.84,1.72,2.85,0.39,53.3
12.34,15.02,1.79,3.68,0.49,48.15
11.52,14.22,1.88,4.03,0.53,46.12
11.32,14.03,1.95,4.23,0.56,44.23
12.08,14.77,1.95,4.29,0.58,44.52
13.34,16.24,1.71,4.89,0.62,42.35
12.31,15.33,1.49,4.84,0.62,44.8
11.43,14.42,1.36,4.08,0.57,48.55
10.58,13.36,1.48,3.12,0.45,55.25
9.7,12.21,1.57,2.13,0.31,62.93
10.52,12.74,1.82,2.35,0.23,61.77
12.42,14.66,1.81,2.74,0.28,57.55
13.5,15.91,1.69,3.23,0.32,53.11
12.37,14.78,1.55,3.43,0.36,50.46
11.75,14.21,1.5,3.43,0.4,48.27
12.27,14.87,1.53,3.54,0.43,47.69
13.31,16.17,1.49,3.96,0.46,47.09
13.04,16.01,1.45,3.89,0.45,49.75
12.51,15.57,1.37,3.52,0.41,51.78
11.3,14.45,1.5,3.03,0.35,55.19
10.21,13.29,1.71,2.37,0.28,61.15
9.56,12.11,1.34,1.5,0.22,67.44
9.21,11.38,1.14,0.88,0.18,75.96
11.48,13.79,2.19,2.84,0.22,62.58
11.74,14.04,1.9,2.82,0.24,58.98
12.32,14.63,1.63,2.96,0.24,54.86
13.26,15.61,1.43,3.14,0.27,51.4
12.95,15.39,1.4,3.24,0.3,51.01
12.13,14.69,1.42,3.26,0.32,51.06
12.44,15.05,1.42,3.22,0.32,51.76
12.99,15.72,1.4,3.18,0.32,52.42
12.47,15.39,1.37,2.99,0.3,52.15
11.32,14.42,1.54,2.68,0.27,55.68
10.39,13.78,1.8,2.49,0.24,59.97
10.24,14.17,2.25,2.85,0.23,63.89
10.19,13.35,2.03,2.19,0.21,70.31
12.72,15.23,3.05,3.8,0.22,63.74
11.75,14.14,2.08,3.12,0.23,60.13
11.38,13.68,1.63,2.87,0.22,55.67
12.44,14.68,1.47,2.77,0.23,54
13.26,15.66,1.39,2.88,0.25,51.77
12.53,15.08,1.4,2.95,0.26,52.13
12.12,14.75,1.39,2.95,0.27,52.08
12.17,14.94,1.42,2.91,0.26,52.73
12.28,15.26,1.49,2.77,0.25,54.21
11.56,14.88,1.62,2.67,0.24,55.5
10.49,14.22,1.89,2.63,0.24,59.64
10.17,14.94,2.64,3.49,0.25,62.63
10.31,14.45,2.42,2.9,0.22,68.71
14,16.78,3.92,4.52,0.22,65.85
12.63,15.33,2.46,3.44,0.23,61.83
11.8,14.31,1.87,2.93,0.22,58.41
12.05,14.4,1.52,2.65,0.22,55.25
12.13,14.43,1.45,2.53,0.22,55.08
11.86,14.37,1.44,2.62,0.23,54.42
11.53,14.17,1.43,2.61,0.23,53.81
11.57,14.51,1.45,2.69,0.24,52.59
11.67,14.88,1.53,2.63,0.23,53.37
11.31,14.81,1.63,2.66,0.23,54.89
10.61,14.48,1.83,2.71,0.23,58.38
